Name,gdd,Mole1,C-C,C=C,C:N,C:C,C:S,C-H,C-Si,N:S,H-Si,H-N,C:O,C-N,C/C,N-O,N=O,C-O,C=O,C-F,O=S,C-S,N:N,H-O,C#N,C=N,N-N,B-C,C#C,C=S,N:O,B-F,B-N,C/N,Br-C,B-O,N/N,C-Cl,C/O,C\\C,N-S,B-H,N=N,N=S,O-S,H/N,C\\N,H-S,N/O,N\\N,N\\O,C/S,C\\O,N#N,tot_num,HBA,HBD,mui,MaxPC,minPC,weight
train_999,254,C1C(=Cc2ncc3c(c12)c1ccccc1c1ccc2cscc2c31)c1scc2nccnc12,4,1,6,25,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,0,41.1625844564415,0.106930513449309,0.106930513449309,457.583
train_997,262,C1C(=Cc2ncc3c4[SiH2]C=Cc4c4c[nH]cc4c3c12)c1cccc2nsnc12,5,2,6,17,0,11,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,1,44.1223308885633,0.16535548582984,0.16535548582984,394.535
train_995,273,C1C=Cc2ncc3c4[nH]c(cc4ccc3c12)-c1nccs1,4,1,6,12,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,1,50.824145953195,0.166651169050462,0.166651169050462,289.363
train_993,253,C1ccc2csc(-c3[SiH2]c(cc3)-c3sc(-c4scc5nccnc45)c4[nH]ccc34)c12,7,3,6,12,6,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,1,42.5674437751975,0.165974050407436,0.165974050407436,457.681
train_991,260,C1ccc2csc(-c3ccc(o3)-c3ccc([nH]3)-c3scc4cc[nH]c34)c12,6,1,4,14,4,12,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,2,45.2560747165196,0.166685133437966,0.166685133437966,374.49
train_99,254,C1C=c2c3cc(cnc3c3c4c[nH]cc4c4C=CCc4c3c2=C1)-c1scc2[SiH2]C=Cc12,7,4,4,19,2,15,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,40.7235956489788,0.165355498473349,0.165355498473349,430.608
train_989,253,C1ccc2csc(-c3Cc(cc3)-c3sc(c4Cccc34)-c3scc4cc[nH]c34)c12,12,4,2,11,6,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,1,42.0837086969598,0.165973696082673,0.165973696082673,427.619
train_987,261,C1C=Cc2csc(C3=Cc4c([SiH2]3)c3[nH]c5C=CCc5c3c3nsnc43)c12,8,3,4,11,2,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,1,45.8558219653634,0.166533194866855,0.166533194866855,387.565
train_985,259,C1C=Cc2csc(C3=Cc4c([SiH2]3)c3c5cocc5c5ccncc5c3c3ccccc43)c12,5,2,2,24,2,15,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,40.7235956489788,0.10503109024872,0.10503109024872,443.603
train_983,253,C1C=Cc2csc(C3=Cc4cnc5c(c4C3)c3ccccc3c3ccc4cscc4c53)c12,7,2,2,24,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,40.7235956489788,0.084668592350735,0.084668592350735,443.596
train_981,251,C1C=Cc2csc(C3=Cc4c(C3)c3cc5c(ccc6ccccc56)cc3c3cscc43)c12,7,2,0,26,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,40.298017021936,0.074629529315611,0.074629529315611,442.608
train_979,247,C1ccc2csc(c12)-c1sc(-c2sc(-c3scc4sccc34)c3sccc23)c2sccc12,6,1,0,18,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,43.0677998877017,0.075503439535408,0.075503439535408,536.840000000001
